"idd","cluster","NK_cells_resting","Monocytes","Mast_cells_resting","Macrophages_M0","T_cells_regulatory_.Tregs.","T_cells_CD4_memory_resting","Dendritic_cells_resting","Macrophages_M1","B_cells_naive","T_cells_follicular_helper","T_cells_CD8","NK_cells_activated","T_cells_CD4_naive","Dendritic_cells_activated","Eosinophils","B_cells_memory","Mast_cells_activated","T_cells_gamma_delta","T_cells_CD4_memory_activated","Neutrophils","Plasma_cells","Macrophages_M2"
"DT_10_01","TME1",0.830962204015294,-0.326818006595124,-0.286238629485381,-0.659943257602987,1.5556377297955,0.272185733921105,1.04132616949282,-0.478440746115031,-0.283350236043491,-0.628725984371723,-0.856090576787534,-1.36331747342504,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,0.94922706912998,0.754731312400828
"DT_10_13","TME1",-0.38708831435276,-0.433585524505458,-0.695463425861018,-0.250904692583526,-0.515712660176621,0.684664145542924,2.04286686654751,-0.122012749018908,1.52536511152356,-0.632657565169075,-0.540257754237451,0.329464765176179,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,0.107433700151423,-0.273955225268754
"DT_10_06","TME1",-0.38708831435276,-0.602402790421325,-0.604951120319398,-0.659943257602987,0.151385511474676,0.662590482323444,2.82180765575121,0.355448524353419,2.00242428620055,-0.805961710191548,-0.809089024127886,-0.618311512882201,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.100734090828239,0.154959082258506
"DT_10_11","TME1",-0.38708831435276,-0.353339078432842,-0.572755006067138,-0.659943257602987,1.68430606840327,0.443452912045732,4.13518205609644,0.109784853314455,1.15356762263655,-0.717771124713074,-0.603093861823416,-0.644502562381031,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.412866626907463,0.12944283369242
"DT_12_02","TME1",-0.38708831435276,-0.734257092803477,-0.77395014138028,-0.659943257602987,-0.721840030559286,0.260699828148678,2.3700683339581,-0.501647850775949,-0.127453818468925,0.320999579562833,0.424816510278049,-0.469505929770661,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,1.33950981232629,-0.260793204394025,-0.378793231545418,0.0123013648164852,0.115322606611595
"DT_09_09","TME1",-0.38708831435276,-0.734257092803477,-0.667012538197451,-0.659943257602987,-0.271552911163308,1.14491575730237,2.11013814680596,-0.263893608839689,-0.636261499957497,-1.01265459188715,-0.0493777090275207,0.240488242824939,-0.0671156055214024,-0.103298673800991,-0.154511267983123,0.672157416438993,-0.293138088150202,0.951894749269575,-0.260793204394025,-0.378793231545418,-0.310837210045612,-0.0131839065709326
"DT_19_01","TME1",-0.38708831435276,2.19469989923594,-0.572654850614727,-0.602346168196222,-0.721840030559286,-0.164818771405071,2.52945916650298,-0.217021852519468,0.49164663807798,-1.01265459188715,-0.415673796554454,-1.31371899071307,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.0983081459411603,2.16028052789647,0.0445584564766142,-0.638037738658559,1.66867598500064
"DT_19_24","TME1",-0.38708831435276,-0.0690369204168821,0.294016424559017,-0.659943257602987,0.543526669028625,0.516164716874375,-0.176155755024965,0.649124477500737,0.131742728975548,-1.01265459188715,0.491788230121338,-0.519775840689363,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.638037738658559,0.202781051874048
"DT_19_08","TME1",-0.38708831435276,0.237088077717644,0.355364221656353,-0.659943257602987,-0.329647024309093,0.0345966862892061,0.756622206827663,1.2801698067232,0.292195600658566,-0.656921634934653,1.20875463505185,-0.806504350084013,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.237975530940473,-0.638037738658559,-0.271035154845505
"DT_07_10","TME1",-0.38708831435276,-0.0783466472489819,0.554790630610341,0.138665743516109,0.518845857344257,-0.185702903353695,-0.473275258173912,1.815392205923,-0.185061068735452,-1.01265459188715,-0.190088067635087,0.359033461417068,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.52997592720428,0.480072147428476
"DT_04_06","TME1",-0.38708831435276,-0.353073782552547,-0.523833831600163,-0.659943257602987,0.858323002009838,0.431326514102707,-0.270834178646717,1.51997053551792,-0.885151169514967,-0.890002282266054,0.495285533147555,-1.27423226796272,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,0.921228216380788,-0.118102207941782
"DT_19_12","TME1",-0.38708831435276,-0.482344379375888,-0.0258313168392718,-0.659943257602987,-0.376552413648402,0.799952388311933,-0.0648792437557624,-0.0250614033450048,-0.0884625580103235,-0.47429709399388,0.0440877329365864,-0.780879514460039,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.638037738658559,0.957161550679431
"DT_19_07","TME1",-0.306024833476097,-0.123180097549656,-0.500249038861015,-0.659943257602987,-0.508170025440079,0.890510028817487,0.41613852540785,0.00101079197716626,0.63008179345425,-0.572490454174609,-0.324267801433691,-0.842480062559069,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.592953266376206,1.04293718263241
"DT_10_09","TME1",-0.38708831435276,-0.632048017444696,-0.584170461158964,-0.587198268167092,-0.721840030559286,0.988691461133326,1.01200693124173,-0.24130068955746,0.806830919958294,-0.518640597763555,-0.245390051157168,-0.552798464059953,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.0434151295912072,0.290242926725698
"DT_19_17","TME1",-0.38708831435276,-0.734257092803477,-0.267872908716498,-0.659943257602987,-0.721840030559286,0.324277219503799,0.527576726722484,0.749939985955463,1.09949474613732,0.285493430521152,0.525876661381381,-0.586740782509242,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.304719137070332,-0.260793204394025,-0.0476087929772841,-0.593931524870916,0.0944432981814411
"DT_19_16","TME1",-0.38708831435276,-0.516066099388616,-0.50841079229387,-0.659943257602987,-0.721840030559286,0.689144744004785,0.058366147606484,0.464165975261748,0.256945118018205,0.471666657071646,0.0659071480809378,-0.686315566352841,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.535399947187074,0.673175954013056
"DT_19_23","TME1",-0.38708831435276,-0.393868559175615,-0.651865746367592,-0.659943257602987,-0.721840030559286,0.535549859260713,0.728842783540598,1.0715825437707,0.293866987183133,-0.469923626589825,0.732029862804146,-1.40668136513078,-0.0671156055214024,-0.103298673800991,-0.154511267983123,-0.252568887881971,-0.293138088150202,-0.354486267817776,-0.260793204394025,-0.378793231545418,-0.498360688467227,0.554570763309709
