geneName,logFC,adj.P.Val,significance
BPGM,1.0933056505366525,1.3512338306179463e-27,UP Significant
RNF20,1.2637460906822082,1.4552842891206138e-27,UP Significant
RAMAC,1.2503539750051198,1.4552842891206138e-27,UP Significant
DNASE1L3,-3.2415998353832634,1.6613382558697016e-27,DOWN Significant
ZGPAT,-1.5059532537496203,1.6920310124520334e-27,DOWN Significant
DIRAS3,-1.673846424419692,1.711239653834751e-27,DOWN Significant
SLC33A1,1.0022196760392483,1.742528211714519e-27,UP Significant
EEF2KMT,1.0954276894547326,1.747543149987804e-27,UP Significant
CCDC50,1.0696005248157814,1.747543149987804e-27,UP Significant
PXMP4,1.4224147831672123,1.7746207059086493e-27,UP Significant
CCDC107,1.0991970215896298,1.9567478875274378e-27,UP Significant
PSMB4,1.277002164849077,1.965957861987894e-27,UP Significant
MAP4,1.3354336504912032,1.9946877853360185e-27,UP Significant
PRCC,1.596829909203942,2.1323868699422995e-27,UP Significant
GM2A,1.7929153308685586,2.5290631125852036e-27,UP Significant
QARS1,1.5021636614158433,2.6101304343224994e-27,UP Significant
NEDD8,1.0049367962665707,3.0624750716348956e-27,UP Significant
TMEM250,1.4119546200901132,3.3198276329594754e-27,UP Significant
NAIF1,1.1406945282965766,3.637152436753248e-27,UP Significant
EIF2D,1.301095778481447,4.0626920692930886e-27,UP Significant
TSNAX,1.4259094169213689,4.16120687352499e-27,UP Significant
BLOC1S3,1.2521440681179554,4.309077076106279e-27,UP Significant
CLCN7,1.4920990561725458,4.3791482094464385e-27,UP Significant
LAMC1,2.4551833942525385,4.870543332004687e-27,UP Significant
NSFL1C,1.111247926916775,4.894882342059259e-27,UP Significant
NAA20,1.1160724000503315,5.009056608954994e-27,UP Significant
SAP30L,1.311031829369536,5.263607422815111e-27,UP Significant
RAP2A,1.809036071124174,5.419457031830645e-27,UP Significant
CALM2,1.0156457325150168,5.95789160574674e-27,UP Significant
CD34,2.106433858326017,5.960080449998672e-27,UP Significant
HM13,1.4104154689974253,5.996107271925747e-27,UP Significant
ATP8B1,1.3629908735230118,6.377660946724633e-27,UP Significant
SLC26A6,2.1931322779257663,7.08301806337062e-27,UP Significant
AAGAB,1.210639631134177,7.349760108106292e-27,UP Significant
PPP2CA,1.1645441485886696,7.349760108106292e-27,UP Significant
HSP90AB1,2.3080461553348988,7.695485044844484e-27,UP Significant
TTL,1.512993472667965,8.003970323472124e-27,UP Significant
SPC24,2.176633212491033,9.213872720827848e-27,UP Significant
KIF3B,1.0878579834367121,9.362713938036922e-27,UP Significant
ARFRP1,1.2854886155267935,9.362713938036922e-27,UP Significant
NSL1,1.4615009942192096,9.468291914486563e-27,UP Significant
AAR2,1.0047960528376532,1.0425808509840437e-26,UP Significant
GOSR2,1.3789497755801454,1.1334249854876289e-26,UP Significant
OGG1,1.2477963848402602,1.2295695628291492e-26,UP Significant
PPME1,1.230435939984143,1.2588069849458002e-26,UP Significant
SIRT6,1.2392989013507258,1.287429823586638e-26,UP Significant
STX10,1.244640630397301,1.2941069567735324e-26,UP Significant
POLG2,1.2417123764516413,1.3379474001829515e-26,UP Significant
BOLA2B,1.7572474006834025,1.482412293038421e-26,UP Significant
MRPS14,1.2971484057076181,1.508675399926179e-26,UP Significant
MT1M,-5.518641517967433,1.5268320953015608e-26,DOWN Significant
BCAP31,1.3111727461204579,1.5299342668785292e-26,UP Significant
EFCAB2,1.4268506112376134,1.5369265675399425e-26,UP Significant
NELFB,1.4346460219577422,1.5790898130462892e-26,UP Significant
STIP1,1.7651290272755729,1.612579764308643e-26,UP Significant
TWF1,1.0034540331669497,1.769532219747771e-26,UP Significant
SPRYD3,1.3345826460333492,2.007842401046371e-26,UP Significant
TOMM6,1.4435240324628813,2.0448532614985914e-26,UP Significant
TAX1BP1,1.1328375897402658,2.055008581670716e-26,UP Significant
COG2,1.6597486930918022,2.1288819731987286e-26,UP Significant
SMPD2,1.22786750436882,2.4425494620918902e-26,UP Significant
RBBP5,1.136357102179384,2.4724324966124208e-26,UP Significant
AC004538.3,-1.20070826082185,2.6159713121197794e-26,DOWN Significant
PPOX,1.573024940318462,2.7311737125160155e-26,UP Significant
YWHAB,1.2889927162657777,2.814613941937911e-26,UP Significant
CASP8,1.2476882437919232,2.9168894711388847e-26,UP Significant
HMMR,2.163379836661613,3.051499329489544e-26,UP Significant
MKRN1,1.0021780616707496,3.5549603332691627e-26,UP Significant
CAP2,2.477174687108048,3.628701740211649e-26,UP Significant
KLHL12,1.4425392902128573,3.6634795411735515e-26,UP Significant
PRMT5,1.4620522126282935,3.7611236439854953e-26,UP Significant
CD2BP2,1.2059000822348187,3.816634711763861e-26,UP Significant
PNO1,1.0262219531214085,3.831222377797591e-26,UP Significant
DCTPP1,1.3442899127741055,4.01838865813695e-26,UP Significant
ZNF263,1.1908860138727784,4.065786631203029e-26,UP Significant
CTD-2116N17.1,3.562689759878029,4.407940987688148e-26,UP Significant
LAMTOR1,1.0540331337614512,4.4987604562887576e-26,UP Significant
RAD51C,1.4714139290798398,4.601966447391473e-26,UP Significant
VPS25,1.3510858027128743,5.0989409130397596e-26,UP Significant
HNRNPA3,1.362577177866977,5.410207273512603e-26,UP Significant
ZCCHC9,1.0493479411678646,5.579324812403028e-26,UP Significant
PPIAP22,1.3293395990117176,5.666698887248247e-26,UP Significant
AP5Z1,1.1640274447772687,6.051842542330108e-26,UP Significant
RBM42,1.188805704130667,6.063870836750186e-26,UP Significant
ARHGEF18,1.3150663761376227,6.236989001019128e-26,UP Significant
TP53BP2,1.5691671568427612,6.298285880615424e-26,UP Significant
NECAB3,2.2429832666615783,6.448323432468433e-26,UP Significant
NCSTN,1.7687720316843905,6.528552155297964e-26,UP Significant
RAB24,1.1820862840781619,6.906153628015636e-26,UP Significant
CCDC85C,1.9865712754077895,7.197589467093867e-26,UP Significant
ACTR3,1.204626686621756,7.222293224223851e-26,UP Significant
C18orf21,1.0978277595532626,7.71597891764333e-26,UP Significant
SNX27,1.325296654706335,7.828456114510129e-26,UP Significant
PSMD2,1.3640712805747048,7.943472497638725e-26,UP Significant
LPGAT1,2.1090798918410445,7.943472497638725e-26,UP Significant
RUVBL1,1.3576598788224499,8.702556721803494e-26,UP Significant
TMEM38B,1.3549416680518913,8.813078274672141e-26,UP Significant
NOL7,1.2873984713998992,8.891580475335443e-26,UP Significant
CDC20,2.8775186557429078,9.080277263314912e-26,UP Significant
APH1A,1.3428781122047218,9.337497509672708e-26,UP Significant
SMG7,1.3789516580294165,1.036615239645452e-25,UP Significant
ZNF517,2.1591284374634676,1.044122648396828e-25,UP Significant
RBM34,1.5234243945163461,1.0514448784979669e-25,UP Significant
MAZ,1.5618012792542082,1.0609492112481754e-25,UP Significant
METTL18,1.2894563558663854,1.0634242216831881e-25,UP Significant
VMP1,1.3012875000388657,1.0721880791511373e-25,UP Significant
UTP18,1.3060645398823163,1.073576273244748e-25,UP Significant
